"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000152583",997.961168152844,4.5793888861616,0.211375500485723,2.6079671782748e-105,4.20169592091854e-101,"SPARCL1","8404"
"ENSG00000148175",11206.9334791584,1.43882743375238,0.0791508578818586,4.61834179723853e-75,3.7203052347655e-71,"STOM","2040"
"ENSG00000134686",2741.36146833917,1.37314761364105,0.0863251885043024,4.00302496355498e-58,2.14975783959448e-54,"PHC2","1912"
"ENSG00000179094",777.098912422347,3.15540199940785,0.200603690155318,5.41714231853985e-57,2.18188949734989e-53,"PER1","5187"
"ENSG00000125148",3659.69602097282,2.18106700670505,0.144493853952915,9.86470578120294e-53,3.17860549681921e-49,"MT2A","4502"
"ENSG00000120129",3411.96609646938,2.91532872346135,0.202065713137585,1.37585921040875e-48,3.69441128981589e-45,"DUSP1","1843"
"ENSG00000189221",2343.57334924977,3.27058597381742,0.228664690041848,1.19619872610503e-47,2.75313681089687e-44,"MAOA","4128"
"ENSG00000178695",2657.21826213722,-2.47896576441853,0.177301519287764,1.15849335553543e-45,2.33306080637891e-42,"KCTD12","115207"
"ENSG00000109906",385.200712986974,7.09783998147777,0.512903320002482,4.13061087905386e-45,7.39425243027075e-42,"ZBTB16","7704"
"ENSG00000101347",12712.9456127058,3.82468509248949,0.282313404582586,9.38702179691498e-43,1.51234308170097e-39,"SAMHD1","25939"
"ENSG00000162614",5399.1359732014,2.00473796856015,0.150554244112717,1.13044627833233e-41,1.65569272638292e-38,"NEXN","91624"
"ENSG00000196517",230.282462332708,-2.19685805793656,0.164806724214154,1.2703708605534e-41,1.70557874453132e-38,"SLC6A9","6536"
"ENSG00000116584",2255.80966137931,-1.00815202227914,0.0764377537936383,8.92531264188574e-41,1.10612086133401e-37,"ARHGEF2","9181"
"ENSG00000096060",2566.32135377626,3.89201866488097,0.300802706709605,1.69099314679787e-39,1.94597075629004e-36,"FKBP5","2289"
"ENSG00000162616",1469.49979755538,1.49904522683374,0.120797077915133,1.53053988433461e-36,1.64390187176766e-33,"DNAJB4","11080"
"ENSG00000183044",499.34845843482,1.14072839617304,0.0918814913294399,1.64687939106767e-36,1.6583046168432e-33,"ABAT","18"
"ENSG00000166741",7439.86238571723,2.12909664079085,0.176179702767865,6.56100082478756e-35,6.21789907577367e-32,"NNMT","4837"
"ENSG00000144369",1306.44025860627,-1.33696955021166,0.112400294782828,8.4860733768129e-34,7.59550712076848e-31,"FAM171B","165215"
"ENSG00000164125",5604.09169009112,1.10631096065689,0.0942735091641824,6.65713548123611e-33,5.64490051253658e-30,"GASK1B","51313"
"ENSG00000108821",101233.481481555,-1.27779908600697,0.111355044079582,5.42224834178655e-32,4.36789215172616e-29,"COL1A1","1277"
"ENSG00000198624",2059.02790703009,2.84604872459979,0.254050590888585,2.00679319115756e-30,1.53959262393997e-27,"CCDC69","26112"
"ENSG00000077684",1572.71026272547,1.18602109584584,0.106160588888327,4.18487536488765e-30,3.06466031835022e-27,"JADE1","79960"
"ENSG00000123562",5047.41389431327,1.01041068480097,0.090972302270455,1.01234616981838e-29,7.09126484432342e-27,"MORF4L2","9643"
"ENSG00000181467",632.360918640644,-1.25695398359987,0.114334683359614,2.86372660420672e-29,1.9223958050156e-26,"RAP2B","5912"
"ENSG00000164647",1923.10027992604,1.52924311325022,0.139491505646899,3.62860581227167e-29,2.33841872966035e-26,"STEAP1","26872"
"ENSG00000114098",1011.49205093171,1.33238354538469,0.122246554593275,7.96683937853166e-29,4.93668266259706e-26,"ARMC8","25852"
"ENSG00000135821",19625.2222327263,2.95018593225358,0.271881493546621,9.01264485823426e-29,5.37787856707453e-26,"GLUL","2752"
"ENSG00000177666",1703.40729709041,1.08472127262357,0.100019425305038,1.70930149331533e-28,9.83519869957261e-26,"PNPLA2","57104"
"ENSG00000139132",1224.56793655509,2.21327271106242,0.20662677664233,4.98368730597985e-28,2.76869607540143e-25,"FGD4","121512"
"ENSG00000163884",561.414367977579,4.50143157035446,0.423974149800573,1.17391117761324e-27,6.11438519487809e-25,"KLF15","28999"
"ENSG00000162692",509.657746953338,-3.55112908657497,0.33390056012972,1.17650016163628e-27,6.11438519487809e-25,"VCAM1","7412"
"ENSG00000183160",2994.77090979276,-1.1546946125375,0.108347247195431,1.2215567583824e-27,6.15015654196836e-25,"TMEM119","338773"
"ENSG00000139289",1980.33778733205,-0.979614795034364,0.0930393596939796,5.63102063323097e-27,2.74913252793891e-24,"PHLDA1","22822"
"ENSG00000166482",26408.0809362613,-0.952765293567388,0.0910364452859001,1.07907418292143e-26,5.11322475324914e-24,"MFAP4","4239"
"ENSG00000163697",2269.39270679434,1.05964970049819,0.101566998558806,1.41293306196584e-26,6.50393273180906e-24,"APBB2","323"
"ENSG00000103502",3324.60202105803,0.80661766232903,0.077235010925196,1.71499891130713e-26,7.67509651668587e-24,"CDIPT","10423"
"ENSG00000116285",3235.76308757943,2.39372276244062,0.231372582210028,2.45054761111506e-26,1.06704790709932e-23,"ERRFI1","54206"
"ENSG00000145777",152.810200794427,-2.73991622646811,0.266857321364304,4.60598320191822e-26,1.95281566752906e-23,"TSLP","85480"
"ENSG00000165995",495.567498008168,3.23738616820682,0.316159357553354,6.62553770098546e-26,2.7370266128353e-23,"CACNB2","783"
"ENSG00000163491",160.677723573361,-2.42966741434581,0.241641576710397,3.64678822524736e-25,1.46883512742401e-22,"NEK10","152110"
"ENSG00000103196",3085.02220810875,2.64723221353466,0.264877003967092,8.87494819319135e-25,3.48742171562209e-22,"CRISPLD2","83716"
